Rang	Nom	Emplacement	Actions	Sortie	Entrée	Commentaire	Temps_execution	Lieu_execution
1	1)_SortESLOEncoding.py	Semaine_08	fichiers déplacés dans des répertoires selon l'encoding	Répertoires 'ESLO_ISO' & 'ESLO_UTF-8'	Répertoire 'IN_FILE/ESLO-2021-03-08'	Suppression des fichiers/répertoires traités	0.0mins	serveur
2	2)_FixTranscriptions_ISO.py	Semaine_10	Retire les annotations indésirables qui empêche le parsing	fichier xml	fichier .trs du répertoire 'IN_FILE/ESLO_ISO'	Le décodage ne fonctionne pas sur le PC serveur	0.41mins	serveur
3	2)_FixTranscriptions_UTF-8.py	Semaine_10	Retire les annotations indésirables qui empêche le parsing	fichier xml	fichier .trs du répertoire 'IN_FILE/ESLO_UTF-8'	Le décodage ne fonctionne pas sur le PC serveur	0.18mins	serveur
4	3)_GetChildLocucteurs.py	Semaine_10	Récupère les id des locuteurs ayant entre 0 et 10 ans	Fichier txt ('child_locuteurs.txt')	Fichier contenant des métadonnées locuteurs ('IN_FILE/metadatas_locuteurs.tsv')			
5	4)_GetESLOTextTranscriptions_ISO.py	Semaine_08	Récupère les transcriptions brutes et les écrit dans un fichier	répertoire 'ESLO_Transcriptions' + fichier txt	Fichier .xml du répertoire 'IN_DATAS/ESLO_ISO' 	Suppression des fichiers/répertoires traités possible		
6	4)_GetESLOTextTranscriptions_UTF-8.py	Semaine_08	Récupère les transcriptions brutes et les écrit dans un fichier	Fichier txt dans le répertoire 'ESLO_Transcriptions'	Fichier .xml du répertoire 'IN_DATAS/ESLO_UTF-8'	Suppression des fichiers/répertoires traités possible		
7	5)_GetChildTranscriptions_ISO.py	Semaine_10	Récupère les transcriptions brutes des enfants de 0 à 5 ans uniquement et les écrit dans un fichier	Fichier txt dans le répertoire 'Child_Transcriptions'	Fichier .xml du répertoire 'IN_DATAS/ESLO_ISO' 	Suppression des fichiers/répertoires traités possible		
8	5)_GetChildTranscriptions_UTF-8.py	Semaine_10	Récupère les transcriptions brutes des enfants de 0 à 5 ans uniquement et les écrit dans un fichier	Fichier txt dans le répertoire 'Child_Transcriptions'	Fichier .xml du répertoire 'IN_DATAS/ESLO_UTF-8'	Suppression des fichiers/répertoires traités possible		
9	6)_GetLemmaOrPosFrequency.py	Semaine_08	Récupère tous les lemmes ou POS de ESLO avec leur fréquence + écriture sur un fichier	Fichier txt 'POS_frequency_ESLO.txt'/'lemme_frequency_ESLO.txt'	Fichier du répertoire 'OUT_DATAS/ESLO_Transcriptions'	Suppression des fichiers/répertoires traités possible		
10	6)_GetLemmaOrPosFrequencyByESLO.py	Semaine_09	Récupère tous les lemmes ou POS de ESLO avec leur fréquence + écriture sur deux fichiers (ESLO1 + ESLO2 séparés)	Fichier txt 'POS_frequency_ESLO1.txt' & 'lemme_frequency_ESLO2.txt'	Fichier .txt du répertoire 'OUT_DATAS/ESLO_Transcriptions'	Suppression des fichiers/répertoires traités possible		
11	7)_GetLemmaOrPosFrequencyChild.py		Récupère tous les lemmes ou POS de ESLO (parlé enfant) avec leur fréquence + écriture sur un fichier	Fichier txt 'child_POS_frequency.txt' & 'childlemme_frequency.txt'	Fichier .txt du répertoire 'OUT_DATAS/Child_Transcriptions'			
12	8)_GetPercentage.py		Calcule les pourcentages de tous les fichiers (à choisir)	Fichiers txt 'ancien nom_PERCENTAGE.txt'	Fichier .txt du répertoire 'OUT_DATAS'			
